2026-01-08 03:20:12.776 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.26; built: 2025-08-14T15:56:56.454Z; git: 65a55c55a68c56d5f2e8232164439bd6e76e53d1; jvm 17.0.17+10
2026-01-08 03:20:12.958 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2026-01-08 03:20:12.977 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2026-01-08 03:20:12.984 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.10.0
2026-01-08 03:20:12.984 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2026-01-08 03:20:12.984 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /opt/solr-9.10.0
2026-01-08 03:20:12.984 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2026-01-08T03:20:12.984877377Z
2026-01-08 03:20:12.986 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /var/solr/logs/jvm_crash_12.log
2026-01-08 03:20:13.015 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: /var/solr/data (source: system property: solr.solr.home)
2026-01-08 03:20:13.031 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig solr.xml not found in SOLR_HOME, using built-in default
2026-01-08 03:20:13.031 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from /opt/solr-9.10.0/server/solr/solr.xml
2026-01-08 03:20:13.055 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/opt/solr-9.10.0/lib]
2026-01-08 03:20:13.410 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2026-01-08 03:20:13.603 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2026-01-08 03:20:13.604 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2026-01-08 03:20:13.723 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 2 core definitions underneath /var/solr/data
2026-01-08 03:20:13.723 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [mycore, activities]
2026-01-08 03:20:13.758 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.12.0
2026-01-08 03:20:13.760 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.12.0
2026-01-08 03:20:13.829 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.s.IndexSchema Schema name=default-config
2026-01-08 03:20:13.831 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.s.IndexSchema Schema name=default-config
2026-01-08 03:20:13.918 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2026-01-08 03:20:14.116 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.s.IndexSchema Loaded schema default-config/1.7 with uniqueid field id
2026-01-08 03:20:14.116 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.c.CoreContainer Creating SolrCore 'mycore' using configuration from instancedir /var/solr/data/mycore, trusted=true
2026-01-08 03:20:14.117 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.s.IndexSchema Loaded schema default-config/1.7 with uniqueid field id
2026-01-08 03:20:14.117 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.c.CoreContainer Creating SolrCore 'activities' using configuration from instancedir /var/solr/data/activities, trusted=true
2026-01-08 03:20:14.135 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2026-01-08 03:20:14.155 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:mycore t:] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/mycore], dataDir=[/var/solr/data/mycore/data/]
2026-01-08 03:20:14.155 INFO  (coreLoadExecutor-13-thread-2) [c: s: r: x:activities t:] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/activities], dataDir=[/var/solr/data/activities/data/]
2026-01-08 03:20:14.228 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@34abdee4{solr-jetty-context.xml,/solr,file:///opt/solr-9.10.0/server/solr-webapp/webapp/,AVAILABLE}{/opt/solr-9.10.0/server/solr-webapp/webapp}
2026-01-08 03:20:14.235 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened /var/solr/logs/2026_01_08.request.log
2026-01-08 03:20:14.240 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@3b220bcb{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2026-01-08 03:20:14.242 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@1de5f0ef{STARTING}[10.0.26,sto=0] @3075ms
